# Tiley et al. 2019, MNRAS 482, 2166 (doi:10.1093/mnras/sty2794; arXiv:1810.07202v1) Table A1
# KROSS-SAMI: "The derived properties used to construct the KROSS, original SAMI, and matched SAMI TFRs
# for the rot-dom and disky sub-samples". 754 rows = KROSS 259 (z~0.9) + SAMI_matched 186 + SAMI_original 309
# (SAMI rows are the z~0 baseline, 0.004<z<0.095, NOT high-z). NOTE: this is NOT arXiv:1811.05982 (see notes).
# SOURCE: CDS/VizieR J/MNRAS/482/2166 tablea1.dat (Records=754), sha256 fb56ada2ca9aa1f0cd23dc30bf2d2231076e95f0ddfde095b1f760ee7e80d044.
#   The Durham release URL named in the paper (astro.dur.ac.uk/KROSS/data.html) returned HTTP 404 on 2026-09-16.
# CONVENTIONS (paper Sec. 1 end): "A Nine-Year Wilkinson Microwave Anisotropy Probe (WMAP9; Hinshaw+2013)
#   cosmology is used throughout this work. All magnitudes are quoted in the Vega system. All stellar masses
#   assume a Chabrier initial mass function." The numerical WMAP9 parameter set is NOT quoted in the paper.
#   logMstar_SED: LePhare SED fit (BC03), per ReadMe; e_logMstar is a uniform 0.2. M* scales as D_L^2.
# VELOCITY: logv22 = log10 of Harrison+2017 v_2.2 (1.3 r_e ~ 2.2 disc scale lengths), corrected for
#   inclination and beam smearing only (paper Sec. 3.4: v2.2 = eps_R,PSF v2.2,obs / sin i). NOT pressure-corrected.
#   disky_flag: 0 = rot-dom only (v2.2/sigma + err > 1); 1 = also disky (> 3 and R^2 > 80%).
#   rot-dom cuts (paper Table 1): dv/v <= 0.3, r_Halpha,max >= 1.3 r_e, 45 < i < 85 deg.
# H17_* COLUMNS ARE A JOIN, not Tiley data: KROSS id == Harrison+2017 KID, verified C4 (all 259 IDs present,
#   logv22 == log10(H17 V22_kms) to <1e-6). H17_R12_kpc is the half-light radius at H0=70 (D_A scaling);
#   Tiley's WMAP9 masses and Harrison's H0=70 radii therefore mix two cosmologies at the few-% level.
# PUBLISHED FITS (Tables 4-5): see HighZ_TF_published_fits.csv.
# Built by scripts/highz_tf_samples_build.py on 2026-09-16.
survey,id,disky_flag,logv22_kms,e_logv22,logMstar_SED,e_logMstar,MK_vega,e_MK,H17_z,H17_R12_kpc,H17_e_R12_kpc,H17_R_flag,H17_theta_im_deg,H17_sigma0_kms,H17_e_sigma0_kms,H17_VC_kms,H17_quality_flag,H17_KIN_TYPE,H17_AGN_flag,H17_IRR_flag
SAMI_original,8353,0,1.788905337877837,0.01034653097256531,8.99836,0.2,-21.189,0.088,,,,,,,,,,,,
SAMI_original,8485,1,1.902183713643622,0.009061742469334163,9.23907,0.2,-20.416,0.056,,,,,,,,,,,,
SAMI_original,8562,0,1.303200687647234,0.04741033391807465,8.04113,0.2,-18.126,0.584,,,,,,,,,,,,
SAMI_original,8570,0,1.555218463707873,0.008593867726937678,8.79927,0.2,-20.547,0.08,,,,,,,,,,,,
SAMI_original,9352,0,1.470026247806805,0.007753290498184803,8.70416,0.2,-20.349,0.039,,,,,,,,,,,,
SAMI_original,15220,0,1.431316822172583,0.02873275685214669,8.57232,0.2,-20.503,0.018,,,,,,,,,,,,
SAMI_original,16026,1,2.236946715264699,0.008977183673866494,10.0001,0.2,-23.438,0.009,,,,,,,,,,,,
SAMI_original,16487,1,1.894027817274927,0.04494500828348094,9.24232,0.2,-21.775,1.0,,,,,,,,,,,,
SAMI_original,22633,0,1.73487071268893,0.03659478170470797,9.8419,0.2,-23.245,0.145,,,,,,,,,,,,
SAMI_original,22839,1,1.872750368401024,0.007505424881931512,9.18729,0.2,-21.271,0.08,,,,,,,,,,,,
SAMI_original,22887,1,2.207279189675994,0.007904932590193071,10.4124,0.2,-23.736,0.01,,,,,,,,,,,,
SAMI_original,23070,0,2.304507851000423,0.02164468039445315,10.855,0.2,-24.527,0.017,,,,,,,,,,,,
SAMI_original,23117,1,2.461285635455485,0.009214261005154645,11.0951,0.2,-25.334,0.015,,,,,,,,,,,,
SAMI_original,23337,1,2.062744556429718,0.01721219734480959,9.81799,0.2,-21.696,0.037,,,,,,,,,,,,
SAMI_original,23565,1,2.181540619566908,0.007035988461606152,10.1976,0.2,-23.372,0.019,,,,,,,,,,,,
SAMI_original,23619,0,2.340319490585366,0.009812658766011865,11.1262,0.2,-24.878,0.012,,,,,,,,,,,,
SAMI_original,23669,0,1.519234579668823,0.01900906118768689,8.1253,0.2,-19.125,0.11,,,,,,,,,,,,
SAMI_original,24414,1,1.725271276735133,0.01801551341206816,8.22246,0.2,-18.547,0.182,,,,,,,,,,,,
SAMI_original,24433,1,1.869452921675381,0.00464479304524718,9.08365,0.2,-20.736,0.633,,,,,,,,,,,,
SAMI_original,30377,0,1.476932288491178,0.05047515847361999,7.74262,0.2,-18.474,0.604,,,,,,,,,,,,
SAMI_original,30890,1,2.045375771739338,0.01064361217110786,9.54812,0.2,-22.19,0.027,,,,,,,,,,,,
SAMI_original,37050,1,1.853975899747032,0.01302141345822936,8.70076,0.2,-20.69,0.129,,,,,,,,,,,,
SAMI_original,41144,1,2.220020317161069,0.006774748062562887,10.4605,0.2,-23.722,0.005,,,,,,,,,,,,
SAMI_original,41164,0,1.774734582663125,0.006631618890838441,8.1982,0.2,-18.859,0.071,,,,,,,,,,,,
SAMI_original,41173,0,1.452953808445692,0.01136052207332603,7.54863,0.2,-18.521,0.106,,,,,,,,,,,,
SAMI_original,47286,0,1.63834901171033,0.01817537573188221,8.20306,0.2,-19.076,0.042,,,,,,,,,,,,
